GCLC;ENSG00000001084
KRIT1;ENSG00000001631
AK2;ENSG00000004455
HCCS;ENSG00000004961
SLC25A5;ENSG00000005022
RALA;ENSG00000006451
VPS41;ENSG00000006715
SLC13A2;ENSG00000007216
FMO3;ENSG00000007933
RPS20;ENSG00000008988
MLXIPL;ENSG00000009950
UQCRC1;ENSG00000010256
CD9;ENSG00000010278
TTC19;ENSG00000011295
LARS2;ENSG00000011376
BRCA1;ENSG00000012048
ERCC1;ENSG00000012061
SLC25A39;ENSG00000013306
POLR3B;ENSG00000013503
DDX11;ENSG00000013573
MDH1;ENSG00000014641
NPC1L1;ENSG00000015520
ATP2C1;ENSG00000017260
IGF1;ENSG00000017427
ATP1A2;ENSG00000018625
GCLM;ENSG00000023909
RRAGD;ENSG00000025039
INSRR;ENSG00000027644
IFT88;ENSG00000032742
ATP6V0A1;ENSG00000033627
GABARAPL2;ENSG00000034713
SH3YL1;ENSG00000035115
VCL;ENSG00000035403
ADSS2;ENSG00000035687
USP2;ENSG00000036672
RPL26L1;ENSG00000037241
SLC66A1;ENSG00000040487
PSMA4;ENSG00000041357
DCUN1D1;ENSG00000043093
TRIT1;ENSG00000043514
HSPA5;ENSG00000044574
ATP6V1H;ENSG00000047249
RCN1;ENSG00000049449
MAPK9;ENSG00000050748
RAD51;ENSG00000051180
PIK3CB;ENSG00000051382
MRTO4;ENSG00000053372
NOP58;ENSG00000055044
CUL1;ENSG00000055130
SOAT1;ENSG00000057252
GDI2;ENSG00000057608
ATG5;ENSG00000057663
USP13;ENSG00000058056
GATB;ENSG00000059691
SLC2A3;ENSG00000059804
GNA15;ENSG00000060558
MPC1;ENSG00000060762
BCAT1;ENSG00000060982
MON2;ENSG00000061987
CS;ENSG00000062485
ATP2C2;ENSG00000064270
SLC12A2;ENSG00000064651
POU1F1;ENSG00000064835
AP3D1;ENSG00000065000
GNAI3;ENSG00000065135
ERBB3;ENSG00000065361
MAP2K4;ENSG00000065559
PRKCQ;ENSG00000065675
MTHFD2;ENSG00000065911
ELAVL1;ENSG00000066044
THUMPD1;ENSG00000066654
ATG2B;ENSG00000066739
DDX3Y;ENSG00000067048
TRAM1;ENSG00000067167
TP53BP1;ENSG00000067369
IARS2;ENSG00000067704
IDH3G;ENSG00000067829
ROCK1;ENSG00000067900
ACSL4;ENSG00000068366
IFT80;ENSG00000068885
PYGM;ENSG00000068976
ELP1;ENSG00000070061
CLTCL1;ENSG00000070371
WIPI1;ENSG00000070540
AP3M2;ENSG00000070718
PABPC1;ENSG00000070756
RPL31;ENSG00000071082
SEL1L;ENSG00000071537
TRIP13;ENSG00000071539
TRNT1;ENSG00000072756
FBXW11;ENSG00000072803
AP1M1;ENSG00000072958
MCM2;ENSG00000073111
TP63;ENSG00000073282
SDHA;ENSG00000073578
ATP2A3;ENSG00000074370
BCS1L;ENSG00000074582
SLC12A1;ENSG00000074803
ACAT1;ENSG00000075239
SLC25A40;ENSG00000075303
SLC25A3;ENSG00000075415
RAB7A;ENSG00000075785
FMO4;ENSG00000076258
PAK3;ENSG00000077264
EXOSC5;ENSG00000077348
SIRT6;ENSG00000077463
FAP;ENSG00000078098
ACER3;ENSG00000078124
PIK3C3;ENSG00000078142
SYNJ2;ENSG00000078269
XRCC5;ENSG00000079246
RIMS1;ENSG00000079841
STX7;ENSG00000079950
SESN1;ENSG00000080546
CDC14B;ENSG00000081377
DUSP12;ENSG00000081721
SLC13A1;ENSG00000081800
ATP8B1;ENSG00000081923
BZW1;ENSG00000082153
GSK3B;ENSG00000082701
TUT7;ENSG00000083223
ULK2;ENSG00000083290
