Label,Test,Pred,Prob,Class
SESN2,0,1,0.700267277,NotCR
INSR,1,1,0.694477291,CR
GOT1,0,1,0.679965559,NotCR
AKT1,0,1,0.670440359,NotCR
NOS3,0,1,0.659153372,NotCR
GCK,1,1,0.654238661,CR
GNAI2,1,1,0.653688837,CR
ATG5,1,1,0.652458395,CR
GHRHR,0,1,0.647923148,NotCR
GNAI3,1,1,0.643166153,CR
GOT2,0,1,0.639999796,NotCR
IGF1,0,1,0.639961047,NotCR
HTR1B,0,1,0.637388721,NotCR
IRS2,0,1,0.634534681,NotCR
GNAO1,1,1,0.632344409,CR
ATG7,1,1,0.631241445,CR
SLC2A4,1,1,0.627863377,CR
IRS1,0,1,0.625880222,NotCR
ADCY5,1,1,0.622875574,CR
GHRH,0,1,0.621357177,NotCR
GNA12,1,1,0.61798783,CR
HDAC2,1,1,0.615473401,CR
GNAT1,1,1,0.614862518,CR
GNAT2,1,1,0.614481651,CR
GNAI1,1,1,0.613462203,CR
GNAQ,1,1,0.613186085,CR
CTH,0,1,0.611452767,NotCR
GNAT3,1,1,0.610405085,CR
CAV1,0,1,0.610280068,NotCR
GNA11,1,1,0.609172375,CR
GNAL,1,1,0.609089962,CR
GNA15,1,1,0.608190027,CR
PRKACB,0,1,0.608154918,NotCR
SLC2A10,1,1,0.605683836,CR
BECN2,1,1,0.603048541,CR
EIF4EBP1,1,1,0.60301604,CR
GABARAP,1,1,0.602773915,CR
ADRA1A,0,1,0.602346593,NotCR
GNAS,0,1,0.601352227,NotCR
PCK1,1,1,0.601277224,CR
SLC2A1,1,1,0.600856425,CR
GABARAPL1,1,1,0.60066647,CR
SIRT1,1,1,0.599656864,CR
PRKAA1,1,1,0.599196757,CR
GNA14,1,1,0.598416875,CR
GLUD1,1,1,0.59829177,CR
SIRT6,0,1,0.597764049,NotCR
GNAZ,1,1,0.597628851,CR
CLTCL1,0,1,0.596807499,NotCR
SESN3,0,1,0.596757411,NotCR
GCLC,1,1,0.59326977,CR
GABARAPL2,1,1,0.593157082,CR
TSC1,0,1,0.592555595,NotCR
CHD3,0,1,0.592516063,NotCR
FGF21,0,1,0.591758873,NotCR
GNMT,0,1,0.591031982,NotCR
HDAC1,1,1,0.59047187,CR
GCLM,0,1,0.587326799,NotCR
SESN1,0,1,0.586652523,NotCR
GPD1,0,1,0.586442806,NotCR
GH1,0,1,0.585984016,NotCR
SHMT1,0,1,0.583423093,NotCR
GNA13,1,1,0.583066579,CR
PIK3CA,1,1,0.582708349,CR
GPT,0,1,0.582068038,NotCR
MAPK14,0,1,0.581834264,NotCR
BECN1,1,1,0.580443975,CR
GSTP1,0,1,0.580020352,NotCR
GAPDH,1,1,0.578382665,CR
RRAGD,0,1,0.577889459,NotCR
RRAGA,1,1,0.575967574,CR
